Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
005930,KR7005930003,삼성전자,KOSPI,,148900,1,5000,3.47,145300,149500,144300,30000219,4435943361334,881434086585800,5919637922,STK
000660,KR7000660001,SK하이닉스,KOSPI,,756000,1,7000,0.93,751000,763000,747000,3712326,2800148676108,550369787940000,728002365,STK
373220,KR7373220003,LG에너지솔루션,KOSPI,,391000,2,-1000,-0.26,394000,398000,388000,289648,113504237500,91494000000000,234000000,STK
005935,KR7005931001,삼성전자우,KOSPI,,111200,1,4400,4.12,107700,111500,106800,4736992,518632612472,90736382636800,815974664,STK
207940,KR7207940008,삼성바이오로직스,KOSPI,,1947000,2,-18000,-0.92,1980000,1981000,1895000,68134,131227502500,90128481597000,46290951,STK
005380,KR7005380001,현대차,KOSPI,,413000,2,-9000,-2.13,426500,426500,408000,2589883,1082019347500,84564957358000,204757766,STK
012450,KR7012450003,한화에어로스페이스,KOSPI,,1299000,1,5000,0.39,1308000,1319000,1279000,291401,378219434928,66980857899000,51563401,STK
329180,KR7329180004,HD현대중공업,KOSPI,,622000,2,-9000,-1.43,631000,631000,613000,186432,116172127000,65285881950000,104961225,STK
034020,KR7034020008,두산에너빌리티,KOSPI,,95300,1,5800,6.48,90100,96400,89900,17969737,1686992122000,61045477213800,640561146,STK
000270,KR7000270009,기아,KOSPI,,151100,2,-1400,-0.92,158000,159500,149700,2624747,405458414950,58991403997800,390412998,STK
402340,KR7402340004,SK스퀘어,KOSPI,,446500,1,17000,3.96,430500,452000,424500,501455,220260564500,58976896847500,132087115,STK
105560,KR7105560007,KB금융,KOSPI,,130900,1,800,0.61,131500,131900,128800,743043,96975308350,49933389282700,381462103,STK
028260,KR7028260008,삼성물산,KOSPI,,290000,1,4000,1.4,290500,290500,283000,280126,80596200106,49293197760000,169976544,STK
068270,KR7068270008,셀트리온,KOSPI,,209000,2,-1500,-0.71,210000,212750,205500,667979,139409314750,48270842521000,230960969,STK
042660,KR7042660001,한화오션,KOSPI,,147000,2,-1900,-1.28,149800,151100,144600,2175830,320275147700,45042768918000,306413394,STK
012330,KR7012330007,현대모비스,KOSPI,,431000,2,-19500,-4.33,449000,449500,428500,648235,283804821750,39105743273000,90732583,STK
035420,KR7035420009,NAVER,KOSPI,,245500,2,-2000,-0.81,248500,248500,243500,1898586,465454123500,38507322629000,156852638,STK
055550,KR7055550008,신한지주,KOSPI,,79200,2,-200,-0.25,79600,79800,78700,1049256,83183865450,38451198772800,485494934,STK
015760,KR7015760002,한국전력,KOSPI,,54700,1,900,1.67,54300,55500,53900,3398110,185597737725,35115435011900,641964077,STK
032830,KR7032830002,삼성생명,KOSPI,,170600,1,9400,5.83,162800,176900,162600,625850,107167286798,34120000000000,200000000,STK
